DY,MO,HR,solar radiation,module_temp,wind direction,wind speed,power
10,1,10,919.59,53.6,1.59,1.2,415.659
10,1,11,975.93,55.073,1.72,1.4,437.411
10,1,12,938.173,52.423,1.96,1.7,426.267
10,1,13,822.519,47.957,2.2,1.9,383.382
10,1,14,630.508,42.042,2.37,1.8,303.945
10,1,15,382.084,33.313,2.57,1.3,188.505
10,1,16,108.27,21.058,2.22,1.2,44.399
10,1,17,0.0,16.0,1.96,1.4,0.0
10,1,18,0.0,15.0,2.06,1.4,0.0
11,1,6,74.708,10.798,2.63,2.2,30.357
11,1,7,331.948,20.956,3.2,2.3,170.535
11,1,8,584.329,32.715,3.68,1.9,291.918
11,1,9,779.727,42.49,3.22,1.8,371.451
11,1,10,909.859,51.455,3.11,1.4,414.866
11,1,11,996.519,58.018,2.66,1.1,441.082
11,1,12,958.395,58.157,2.3,1.0,424.937
11,1,13,837.472,53.181,2.28,1.1,381.996
11,1,14,647.07,45.948,2.49,1.1,307.127
11,1,15,396.475,36.54,2.63,0.8,193.382
11,1,16,117.68,23.759,2.31,0.7,47.331
11,1,17,0.0,0.0,1.95,0.9,0.0
11,1,18,0.0,17.1,2.06,1.0,0.0
12,1,6,92.734,12.987,2.78,1.7,36.71
12,1,7,363.067,24.879,3.2,1.6,184.118
12,1,8,617.796,40.253,3.21,0.8,300.194
12,1,9,814.194,52.856,2.7,0.6,372.045
12,1,10,943.208,57.588,2.07,0.9,419.315
12,1,11,968.304,59.575,1.42,0.9,425.485
12,1,12,930.083,57.745,1.53,1.0,412.893
12,1,13,815.156,53.615,2.02,1.0,370.756
12,1,14,593.72,45.654,2.48,0.9,281.228
12,1,15,347.568,35.664,2.97,0.7,169.483
12,1,16,89.593,23.294,3.04,0.8,37.031
12,1,17,0.0,0.0,2.46,1.0,0.0
12,1,18,0.0,17.2,2.69,1.2,0.0
13,1,6,53.402,11.645,2.63,1.9,21.519
13,1,7,297.283,22.066,2.33,1.8,151.561
13,1,8,541.31,36.34,2.26,0.9,265.919
13,1,9,742.046,48.477,1.4,0.7,344.392
13,1,10,870.232,53.408,0.75,1.0,393.134
13,1,11,923.846,56.691,2.48,1.0,410.559
13,1,12,889.025,57.756,3.48,0.8,394.102
13,1,13,771.189,55.03,3.87,0.6,348.049
13,1,14,569.653,47.184,3.85,0.5,267.667
13,1,15,311.914,34.732,3.51,0.6,152.266
13,1,16,9.46,20.765,2.69,0.6,3.865
13,1,17,0.0,0.0,1.85,0.7,0.0
13,1,18,0.0,18.8,1.48,0.7,0.0
14,1,6,48.285,14.309,2.6,1.0,19.278
14,1,7,277.011,25.425,2.47,1.0,139.063
14,1,8,514.902,35.897,2.95,1.3,252.739
14,1,9,706.57,42.813,2.06,1.8,335.037
14,1,10,835.346,49.0,0.91,1.7,383.896
14,1,11,912.903,53.461,1.0,1.5,411.12
14,1,12,883.132,54.349,2.12,1.3,397.073
14,1,13,771.001,51.855,2.82,1.1,352.556
14,1,14,552.122,45.261,3.19,0.8,261.044
14,1,15,322.143,35.835,3.43,0.6,156.609
14,1,16,76.185,23.814,2.95,0.7,32.052
14,1,17,0.0,0.0,2.33,0.9,0.0
14,1,18,0.0,18.2,2.28,1.1,0.0
15,1,6,52.211,14.441,2.85,1.5,20.774
15,1,7,288.76,24.597,3.33,1.7,145.599
15,1,8,521.128,36.403,3.35,1.3,255.38
15,1,9,719.664,48.57,2.54,0.9,333.395
15,1,10,858.069,56.391,2.62,0.8,382.298
15,1,11,910.436,55.227,1.91,1.3,406.723
15,1,12,878.006,51.986,0.73,1.7,398.526
15,1,13,763.45,47.328,0.56,1.9,355.517
15,1,14,555.188,41.244,1.44,1.7,266.767
15,1,15,313.938,32.913,2.08,1.2,154.386
15,1,16,74.867,22.461,2.08,1.0,31.902
15,1,17,0.0,0.0,1.95,1.0,0.0
15,1,18,0.0,18.0,2.12,1.1,0.0
16,1,6,50.755,13.473,2.91,1.9,20.219
16,1,7,286.388,23.201,3.08,2.0,145.145
16,1,8,533.602,34.8,3.37,1.7,263.454
16,1,9,724.801,45.973,2.47,1.3,339.548
16,1,10,853.806,55.103,2.1,0.9,382.496
16,1,11,908.926,58.089,1.6,0.9,401.052
16,1,12,875.403,53.525,1.36,1.4,394.698
16,1,13,755.988,47.471,1.21,1.8,351.748
16,1,14,550.029,40.885,0.97,1.7,264.431
16,1,15,313.27,32.59,1.07,1.2,154.228
16,1,16,75.074,21.812,1.49,1.1,32.421
16,1,17,0.0,0.0,2.13,1.2,0.0
16,1,18,0.0,16.9,2.98,1.3,0.0
17,1,6,47.224,12.362,2.62,2.4,19.04
17,1,7,274.091,21.141,2.72,2.5,139.833
17,1,8,514.696,31.447,3.41,2.3,257.067
17,1,9,703.254,40.481,3.37,2.1,336.535
17,1,10,829.148,47.081,3.67,1.9,383.91
17,1,11,929.381,51.735,3.12,1.8,421.649
17,1,12,899.202,50.812,2.31,1.9,410.37
17,1,13,786.542,47.139,1.67,2.0,366.81
17,1,14,602.412,41.628,1.2,1.9,289.839
17,1,15,361.691,33.471,0.92,1.4,178.495
17,1,16,105.641,22.135,0.9,1.2,45.571
17,1,17,0.0,0.0,1.35,1.4,0.0
17,1,18,0.0,15.9,2.16,1.5,0.0
18,1,6,75.642,11.396,1.5,2.0,30.492
18,1,7,335.712,22.493,1.16,1.9,171.299
18,1,8,593.328,35.523,1.38,1.5,293.228
18,1,9,798.01,47.338,1.39,1.2,372.611
18,1,10,933.367,53.316,1.24,1.3,421.988
18,1,11,994.861,52.272,1.11,1.9,450.713
18,1,12,954.171,49.411,1.5,2.3,438.45
18,1,13,836.391,45.788,2.1,2.4,392.766
18,1,14,647.248,40.74,2.69,2.2,313.172
18,1,15,400.139,33.126,2.96,1.5,198.485
18,1,16,125.561,21.37,2.78,1.2,54.133
18,1,17,0.0,0.0,2.02,1.3,0.0
18,1,18,0.0,14.8,2.14,1.4,0.0
19,1,6,87.936,11.657,3.08,2.6,35.045
19,1,7,356.848,21.842,3.68,2.7,182.785
19,1,8,611.12,31.965,3.63,2.9,306.567
19,1,9,813.612,40.374,3.76,2.9,390.996
19,1,10,942.563,48.492,3.56,2.2,435.015
19,1,11,982.398,54.758,2.45,1.5,440.278
19,1,12,948.039,57.24,1.65,1.1,421.221
19,1,13,836.304,54.827,1.48,0.9,377.85
19,1,14,645.127,47.329,1.71,0.9,303.614
19,1,15,396.695,36.96,1.98,0.8,193.74
19,1,16,125.677,24.203,2.05,0.9,54.017
19,1,17,0.0,0.0,1.85,1.0,0.0
19,1,18,0.0,17.2,2.31,1.1,0.0
20,1,6,76.931,12.614,2.52,2.3,30.894
20,1,7,334.121,22.783,2.78,2.5,170.239
20,1,8,583.729,33.806,3.02,2.3,290.233
20,1,9,785.48,44.076,2.17,1.9,371.452
20,1,10,917.321,53.481,1.46,1.3,414.187
20,1,11,963.688,59.287,0.78,0.9,423.116
20,1,12,930.382,60.448,0.45,0.7,407.228
20,1,13,814.936,56.952,1.07,0.6,364.484
20,1,14,605.357,48.136,1.57,0.6,283.247
20,1,15,364.729,37.03,1.75,0.6,177.545
20,1,16,104.151,24.166,1.74,0.8,45.177
20,1,17,0.0,0.0,1.61,1.0,0.0
20,1,18,0.0,17.6,2.02,1.0,0.0
21,1,6,33.869,12.874,1.32,1.7,14.093
21,1,7,215.54,21.322,1.48,1.9,109.069
21,1,8,486.27,32.963,1.28,1.9,241.352
21,1,9,762.984,43.675,0.19,2.0,361.07
21,1,10,897.332,50.403,0.66,1.8,410.207
21,1,11,958.559,54.634,1.29,1.6,429.332
21,1,12,927.191,55.024,1.91,1.5,415.43
21,1,13,814.555,52.113,2.29,1.4,371.882
21,1,14,615.149,46.099,2.53,1.2,290.328
21,1,15,371.882,37.529,2.83,0.8,180.847
21,1,16,113.667,25.827,2.83,0.7,49.295
21,1,17,0.0,0.0,1.84,0.6,0.0
21,1,18,0.0,19.9,1.7,0.4,0.0
22,1,6,70.989,15.099,4.0,1.1,28.428
22,1,7,321.121,26.139,4.32,1.4,161.307
22,1,8,572.01,37.76,4.15,1.4,279.783
22,1,9,774.698,47.638,3.81,1.4,360.886
22,1,10,907.905,56.247,3.85,1.1,405.021
22,1,11,966.535,62.028,3.22,0.8,419.281
22,1,12,934.186,65.608,2.18,0.4,399.588
22,1,13,818.98,63.025,1.09,0.2,356.595
22,1,14,637.338,51.94,0.24,0.5,293.851
22,1,15,390.119,39.318,0.57,0.7,188.763
22,1,16,124.083,26.382,1.08,0.8,53.531
22,1,17,0.0,0.0,1.47,0.9,0.0
22,1,18,0.0,19.4,2.26,1.0,0.0
23,1,6,55.747,15.281,2.65,1.7,22.442
23,1,7,295.381,25.427,2.93,1.9,148.445
23,1,8,533.658,37.025,3.57,1.5,261.051
23,1,9,728.094,47.956,2.82,1.2,338.046
23,1,10,855.715,58.57,1.84,0.7,377.282
23,1,11,914.374,63.189,0.73,0.6,394.101
23,1,12,875.749,58.014,0.53,1.1,386.779
23,1,13,759.716,51.581,1.25,1.5,346.81
23,1,14,555.048,43.995,1.71,1.6,262.911
23,1,15,323.85,35.552,2.01,1.2,157.862
23,1,16,88.111,24.576,2.11,1.1,39.037
